,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
882,834814,Kevin Jones,20694,Cal Poly SLO,Big West,4.8,5.06,5.05,4.78,2010
886,662757,Jason Colwick,21292,Rice,C-USA,5.05,5.2,5.72,5.71,2010
889,662746,Chris Kato,21292,Rice,C-USA,4.3,4.3,4.9,4.75,2010
904,676327,Justin Taylor,21560,Wichita State,Missouri Valley (MVC),3.85,4.47,4.6,4.63,2010
907,654197,Nick Frawley,20583,Air Force,Mountain West (MWC),5.32,5.25,5.35,5.3,2010
914,841624,Brandon Estrada,21493,USC,PAC-10,4.62,5.21,5.36,5.4,2010
915,675999,Colin Witter-Tilton,21242,Oregon,PAC-10,4.75,5.21,5.06,5.22,2010
918,678374,Ryan Shuler,21484,UC Berkeley,PAC-10,5.06,5.06,5.25,5.07,2010
929,656570,Josh Dominguez,21056,LSU,Southeastern (SEC),4.9,5.1,5.05,5.4,2010
974,626623,Brian Mahon,21219,Notre Dame,Big East,4.1,4.45,4.6,4.75,2009
981,836717,Stephen Horrell,21489,UC Santa Barbara,Big West,4.25,4.65,4.52,4.75,2009
992,718890,Chris Skaggs,21101,Miami (OH),Mid-American (MAC),4.6,4.45,4.6,4.75,2009
994,676292,Beau Morris,21560,Wichita State,Missouri Valley (MVC),4.6,4.75,4.75,5.16,2009
999,677334,Skylar Morgan,20583,Air Force,Mountain West (MWC),3.35,3.9,3.85,4.25,2009
1018,820107,Daryl Brady,21126,Mississippi State,Southeastern (SEC),3.85,4.2,4.15,4.6,2009
1029,1869839,Sean Strizzi,21288,Rhode Island,Atlantic 10,4.65,4.9,4.87,4.6,2008
1056,2748990,Robert Caldwell,21180,New Mexico,Mountain West (MWC),4.77,5.12,5.2,5.51,2008
1058,1405532,Matt Weirich,20690,BYU,Mountain West (MWC),4.9,5.05,5.31,5.25,2008
1065,692558,Benjamin Dickens,21424,Stanford,PAC-10,4.8,4.77,4.75,5.05,2008
1068,1929872,Graham Brockmiller,21493,USC,PAC-10,4.75,4.65,4.65,4.6,2008
1070,1469980,Weston Fuller,20900,Georgia,Southeastern (SEC),4.9,4.9,4.9,5.15,2008
