,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
226,6742549,Emily Brigham,21364,South Dakota,Great West,4.05,4.1,4.12,4.16,2017
227,5092909,Hunter Wilkes,21364,South Dakota,Great West,4.11,4.15,4.24,4.16,2017
237,6656835,Rebecca Szabo,20584,Akron,Mid-American (MAC),3.8,4.08,4.1,4.16,2017
239,6244694,Morgan Estes,21003,Kent State,Mid-American (MAC),3.61,3.93,4.17,4.13,2017
240,14283762,Natalie Uy,20844,Eastern Michigan,Mid-American (MAC),12.458333333333336,12.895833333333336,13.020833333333336,13.125,2017
245,6348505,Katie Trupp,21373,Southern Illinois-Carbondale,Missouri Valley (MVC),3.65,3.76,3.85,3.96,2017
246,6348493,Cara Engel,21373,Southern Illinois-Carbondale,Missouri Valley (MVC),3.65,3.91,4.06,3.95,2017
253,4942098,Alison Powers,21175,Nevada-Reno,Mountain West (MWC),3.4,3.82,4.11,4.06,2017
257,6495633,Katherine Magill,21326,San Diego State,Mountain West (MWC),3.21,3.37,3.76,3.61,2017
262,6348458,Chleo LeGrand,21162,Murray State,Ohio Valley (OVC),3.2,3.48,3.35,3.3,2017
263,5168413,Kristina Owsinski,21523,Washington,PAC-12,4.01,4.05,4.4,4.4,2017
264,6243665,Elizabeth Quick,21523,Washington,PAC-12,3.89,4.14,4.22,4.35,2017
267,5077659,Kristine Felix,21526,Washington State,PAC-12,3.86,4.04,4.0,4.0,2017
270,6927675,Helen Ann Haun,21243,Oregon State,PAC-12,3.55,3.6,3.91,3.92,2017
276,6794780,Lakan Taylor,20585,Alabama,Southeastern (SEC),4.15,4.26,4.17,4.31,2017
277,6794788,Sarah Bell,21499,Vanderbilt,Southeastern (SEC),4.0,4.17,4.2,4.28,2017
289,4933871,Anna Benke,21198,North Dakota State,Summit,3.7,3.86,3.75,3.96,2017
290,6742564,Courtney Trapp,21365,South Dakota State,Summit,3.51,3.35,3.49,3.35,2017
295,6349148,Amber Kozaki,20941,Hawaii Manoa,Western (WAC),3.87,3.83,3.82,3.92,2017
299,8992612,Chelsea Bingham,21051,Louisville,American,3.47,3.76,3.42,3.55,2016
