ID,Name,School_ID,School,Division
17564485,Nick Bianco,20765,Colorado,Big 12
18118550,Jesse Pinkley,20998,Kansas State,Big 12
16225333,Chandler Heid,20998,Kansas State,Big 12
16310211,Kale Mauritsen,21461,Texas Tech,Big 12
17548452,Clay Eckert,20996,Kansas,Big 12
15248807,Wyatt Rhoads,20765,Colorado,Big 12
10802345,Davis Butte,20765,Colorado,Big 12
12536943,Joseph Keys,21072,Marquette,Big East
10840992,Thomas Conboy,21505,Villanova,Big East
17559379,Nolan Blachowski,21219,Notre Dame,Big East
10791992,Trey Deveraux,21533,Weber State,Big Sky
16280380,Zach Klobutcher,20848,Eastern Washington,Big Sky
17577077,Lachlan Burns,21533,Weber State,Big Sky
17558258,Colby Wilson,21142,Montana State,Big Sky
12687339,Braden Masanga,21266,Portland State,Big Sky
16228454,Jed Smith,21533,Weber State,Big Sky
12660715,Josh Anderson,20965,Idaho State,Big Sky
16278172,Alius Evans,21205,Northern Colorado,Big Sky
14312661,Henry Adams,21142,Montana State,Big Sky
17574823,Cade Ricks,20965,Idaho State,Big Sky
16280378,James Lane,20848,Eastern Washington,Big Sky
10874331,Caleb Neth,21142,Montana State,Big Sky
14430618,Parker Linhart-Wubbena,20848,Eastern Washington,Big Sky
17732286,Chris Homen,20848,Eastern Washington,Big Sky
16280376,Elijah Conley,20848,Eastern Washington,Big Sky
12566457,Quintin Porterfield,20848,Eastern Washington,Big Sky
10897603,Carter Clasper,20945,High Point,Big South
14400894,Anders Janes,21033,Liberty,Big South
12633711,Gabriel Stainback,20945,High Point,Big South
17596112,Luke Lombardi,21033,Liberty,Big South
17574381,Anthony Bryan,21033,Liberty,Big South
17555998,Adam Craig,20945,High Point,Big South
14401979,Ryver Morrow,20755,Coastal Carolina,Big South
16299454,Cole Peterlin,21033,Liberty,Big South
17555999,Cole Holliday,20945,High Point,Big South
12001867,Stephen Binkley,20945,High Point,Big South
12666548,Grant Houmiel,21575,Winthrop,Big South
16280933,Brandon Lewis,20945,High Point,Big South
17556001,Evan Mills,20945,High Point,Big South
17564549,Tucker Conine,20945,High Point,Big South
17737418,Jake Galluccio,21033,Liberty,Big South
12821428,Jered Espanola,21485,UC Davis,Big West
14669610,Christian Valles,20694,Cal Poly SLO,Big West
12821439,Lorenzo Sison,20694,Cal Poly SLO,Big West
12647467,Michael Magula,21044,Long Beach State,Big West
14594518,Ernesto Collazo,20790,CS Fullerton,Big West
17683115,Ryan Fegan,21489,UC Santa Barbara,Big West
17742313,Mathis Bresko,20694,Cal Poly SLO,Big West
14669579,Adam Gockel,20694,Cal Poly SLO,Big West
17683090,Samuel Heinrichs,20790,CS Fullerton,Big West
17780682,Preston Sladek,21044,Long Beach State,Big West
16668928,Daniel Palacio,20790,CS Fullerton,Big West
16833755,Josh Farmer,21486,UC Irvine,Big West
18113781,Aaron Booth,21044,Long Beach State,Big West
12837545,Sam Pica,21489,UC Santa Barbara,Big West
16382597,Nathan Garibay,21044,Long Beach State,Big West
17683100,David Miketta,21485,UC Davis,Big West
14669600,Peter Michiels,21489,UC Santa Barbara,Big West
14424791,Alex Slinkman,21292,Rice,C-USA
17851500,Paulo Benavides,21463,Texas-El Paso,C-USA
16309628,Arturo Ciriza,21463,Texas-El Paso,C-USA
13002480,Michael Fairbanks,21564,William &amp; Mary,Colonial (CAA)
12603075,Harrison Shotwell,20897,George Mason,Colonial (CAA)
17561324,Forest Flynn,20897,George Mason,Colonial (CAA)
17695529,Logan Malone,21195,North Carolina-Wilmington,Colonial (CAA)
17556179,Eerik Haamer,21364,South Dakota,Great West
10882644,Ethan Bray,21364,South Dakota,Great West
16386205,Hudson Hall,28394,Houston Baptist,Great West
9142625,Kaleb Ellis,21364,South Dakota,Great West
16295384,Marshall Faurot,21364,South Dakota,Great West
14335534,Isaac Manning,21497,Utah Valley University,Great West
17525315,Tre Young,21364,South Dakota,Great West
14424742,Scott Boon,28394,Houston Baptist,Great West
17547677,Jorg Vandierde,28394,Houston Baptist,Great West
17549140,Neal Berkey,21497,Utah Valley University,Great West
8987629,Calvin Gould,21179,New Jersey Tech,Great West
17842972,Scott Toney,21254,Penn,Heps
12545547,Demetri Whitsett,21254,Penn,Heps
