,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
194,6494664,Clive Pullen,20619,Arkansas,Southeastern (SEC),15.8,16.27,16.78,16.64,2017
208,9017349,Ezekiel Clerk,21374,Southern Illinois-Edwardsville,Summit,13.32,13.65,14.37,14.44,2017
211,8247025,Desmond Gulley,20621,Arkansas-Little Rock,Sun Belt,13.79,14.69,13.95,13.65,2017
215,3812273,John Horton,20955,Houston,American,15.58,15.66,15.97,15.15,2016
230,5678511,Tony Carodine,21128,Missouri,Big 12,15.61,15.57,15.72,16.26,2016
241,5612970,Darren Richardson Jr.,21487,UC Riverside,Big West,13.48,14.17,13.67,14.14,2016
259,5518281,Shazz Michael Lindo,21560,Wichita State,Missouri Valley (MVC),14.37,15.22,15.45,15.45,2016
265,5482399,Shaquille Cragwall,21449,Tennessee State,Ohio Valley (OVC),14.14,14.34,14.56,15.19,2016
267,5077612,Josh Dixon,20618,Arizona State,PAC-12,15.19,16.03,15.81,15.9,2016
285,5062525,Jeremiah Ary,21365,South Dakota State,Summit,14.26,14.11,14.63,14.82,2016
296,3809831,Ryan Satchell,21507,Virginia,Atlantic Coast (ACC),15.25,15.0,15.98,15.89,2015
298,4048634,Caleb Love,21040,Lipscomb,Atlantic Sun,12.29,12.99,13.28,12.9,2015
301,4476836,Jonathon Ilori,21128,Missouri,Big 12,14.77,15.12,15.89,16.07,2015
311,4304183,Oscar Pearson,21489,UC Santa Barbara,Big West,13.52,13.94,14.5,14.17,2015
319,7694213,Craig Mauldin,21487,UC Riverside,Mid-American (MAC),14.02,14.43,15.03,15.52,2017
323,3843027,Jonathan Edmunds,20768,Colorado State,Mountain West (MWC),14.64,14.5,15.46,15.26,2015
324,3843046,Trey Richardson,20768,Colorado State,Mountain West (MWC),14.61,14.55,15.24,15.12,2015
326,3812896,Blue Kearney,20583,Air Force,Mountain West (MWC),13.32,14.05,14.62,14.95,2015
327,3412789,Justin Lovingood,20887,Fresno State,Mountain West (MWC),15.35,15.31,15.38,14.7,2015
330,3812911,Kyle Gartrell,20583,Air Force,Mountain West (MWC),13.28,13.48,14.58,14.51,2015
335,3888755,Allen Williams,21493,USC,PAC-12,14.6,15.14,14.66,14.85,2015
337,3844861,Marquis Dendy,20871,Florida,Southeastern (SEC),15.55,15.47,17.05,17.71,2015
339,3525133,Jason Harper,21126,Mississippi State,Southeastern (SEC),15.16,15.18,15.73,15.92,2015
348,3812821,Cyrus Johnson,21545,Western Kentucky,Sun Belt,15.04,14.61,15.26,15.38,2015
351,5363769,Norwood Nile,21327,San Francisco,West Coast (WCC),13.38,14.2,14.1,13.87,2015
353,2829964,Jonathan Gardner,20903,Georgia Tech,Atlantic Coast (ACC),15.34,15.47,15.92,15.83,2014
360,2765125,Logan Renwick,21219,Notre Dame,Big East,15.09,15.04,14.48,15.39,2014
369,7694213,Craig Mauldin,20719,Central Michigan,Mid-American (MAC),14.02,14.43,15.03,15.52,2017
380,2778213,Kasen Covington,21523,Washington,PAC-12,15.54,15.02,15.71,15.45,2014
381,1781810,Hammed Suleman,21484,UC Berkeley,PAC-12,15.17,15.48,15.26,15.45,2014
382,2113693,Julian Bardwell,21523,Washington,PAC-12,14.41,14.19,14.24,14.95,2014
384,3245614,Caleb Kruse,21242,Oregon,PAC-12,14.77,13.84,14.12,14.26,2014
385,2996855,Viktor Fajoyomi,21493,USC,PAC-12,15.4,14.28,15.03,13.95,2014
389,2839317,Preston Woodard,21267,Prairie View A&amp;M,Southwestern (SWAC),15.61,15.9,15.81,15.88,2014
393,2783921,Cordairo Golden,21106,Middle Tennessee State,Sun Belt,15.0,15.49,15.95,16.32,2014
397,5740948,Jamie Ruginski,21376,Southern Maine,America East,15.08,14.58,15.13,15.43,2015
400,1673199,Jason Johnson,20839,East Tennessee State,Atlantic Sun,14.57,14.5,15.0,15.69,2013
402,1698971,Oladipo Fagbemi,21117,Minnesota,Big 10,15.29,15.61,15.05,15.68,2013
403,1781722,Bryce Lamb,21461,Texas Tech,Big 12,16.1,16.07,16.56,15.65,2013
406,5707684,Matthew Oneal,21367,South Florida,Big East,15.9,16.22,16.12,17.01,2016
407,627730,Kevin Bostick,21311,Rutgers,Big East,14.07,15.04,14.62,15.24,2013
409,678761,Chris Johnson,21033,Liberty,Big South,13.97,14.66,14.9,15.31,2013
413,3812273,John Horton,20955,Houston,C-USA,15.58,15.66,15.97,15.15,2016
414,659152,Cody Linder,21364,South Dakota,Great West,14.27,14.53,14.63,13.74,2013
418,1676438,Jaymes Talkington,21595,Wyoming,Mountain West (MWC),14.03,14.19,14.82,14.97,2013
420,1676523,Ryan Wasilawski,20768,Colorado State,Mountain West (MWC),14.32,14.68,14.0,14.5,2013
425,1664707,Wilmot Stubblefield,21045,Long Island U - Brooklyn,Northeast (NEC),13.79,14.43,15.37,15.03,2013
427,2778213,Kasen Covington,21523,Washington,PAC-10,15.54,15.02,15.71,15.45,2014
428,1781810,Hammed Suleman,21484,UC Berkeley,PAC-10,15.17,15.48,15.26,15.45,2014
429,1771228,Stephan Scott-Ellis,21526,Washington State,PAC-10,15.62,15.9,16.05,15.57,2013
430,1781806,Chad Jones,21484,UC Berkeley,PAC-10,14.48,15.01,15.63,15.42,2013
431,5077612,Josh Dixon,20618,Arizona State,PAC-10,15.19,16.03,15.81,15.9,2016
432,3888755,Allen Williams,21493,USC,PAC-10,14.6,15.14,14.66,14.85,2015
433,2996855,Viktor Fajoyomi,21493,USC,PAC-10,15.4,14.28,15.03,13.95,2014
434,1991487,Tyler Pinkney,21242,Oregon,PAC-10,14.44,15.3,14.48,14.94,2013
435,3245614,Caleb Kruse,21242,Oregon,PAC-10,14.77,13.84,14.12,14.26,2014
436,13416340,Omar Craddock,20871,Florida,Southeastern (SEC),54.33333333333334,54.0,55.52083333333334,55.52083333333334,2013
437,636409,Tarik Batchelor,20619,Arkansas,Southeastern (SEC),16.07,15.54,15.85,16.15,2013
440,1672823,Morris Kersh,21124,Mississippi,Southeastern (SEC),15.18,15.74,15.02,15.16,2013
442,645531,DC Okonta,21133,Missouri-Kansas City,Summit,13.99,14.89,15.07,15.18,2013
447,624221,Vibert DeFreitas,20833,Duquesne,Atlantic 10,13.92,14.23,14.23,14.33,2012
448,653435,Hasheem Halim,21510,Virginia Tech,Atlantic Coast (ACC),15.49,15.67,16.25,16.49,2012
453,640701,Rex Parker,20972,Indiana (IN),Big 10,14.9,15.25,14.54,15.7,2012
454,640698,Olumide Olamigoke,20972,Indiana (IN),Big 10,15.4,15.62,15.64,15.64,2012
455,635983,Chris Phipps,21169,Nebraska,Big 10,15.89,16.0,15.92,15.36,2012
459,623173,Darryl Trotter,20996,Kansas,Big 12,14.53,15.21,15.29,14.53,2012
460,624411,Folarin Ijelu,21261,Pittsburgh,Big East,14.99,15.02,15.01,15.09,2012
463,626595,James Muehleman,21072,Marquette,Big East,13.63,13.3,13.97,14.36,2012
464,833671,Burton Jones,20755,Coastal Carolina,Big South,14.51,14.3,14.68,14.7,2012
465,624566,Ademola Titcombe,21513,VMI,Big South,14.61,14.57,14.87,14.03,2012
466,719207,Igor Seriba,21485,UC Davis,Big West,14.87,15.14,14.9,15.11,2012
469,675786,Lavell Handy,20897,George Mason,Colonial (CAA),13.97,15.42,16.25,15.56,2012
470,678205,Edward Manning,21195,North Carolina-Wilmington,Colonial (CAA),14.16,14.4,14.18,14.6,2012
471,659150,Chad Pinkelman,21364,South Dakota,Great West,13.79,14.61,13.72,13.34,2012
472,627594,Efayomi Carr,21254,Penn,Heps,14.13,14.28,14.34,13.9,2012
473,653382,Jared Baldwin,21188,North Carolina A&amp;T,Mid-Eastern (MEAC),13.27,14.75,14.56,14.74,2012
474,603890,Marcus Stephens,21362,South Carolina State,Mid-Eastern (MEAC),14.75,15.07,15.19,14.41,2012
